;id;name;artist;bpm;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
625;626;The Last Dance;Shai T;120;Am;2021-09-04;;;;320;19368576;;1;file://localhost/C:/E+/21T09_SepMelody/Shai%20T-The%20Last%20Dance.mp3;8A
33;34;Pacifica (Original Mix);Beije;120;Em;2021-06-29;https://djsoundtop.com;;4A-2A;320;17664214;;8;file://localhost/C:/E+/21T06_Junio/Beije%20-%20Pacifica%20Original%20Mix.mp3;9A
383;384;Acceptance;Ruben Karapetyan;120;Bm;2022-02-28;;;;320;18568176;;4;file://localhost/C:/E+/22T02_Febrero/Ruben%20Karapetyan-Acceptance.mp3;10A
934;935;Too Late (Original Mix);Paravorik;120;Gbm;2021-05-08;djsoundtop.com - 11A;;11A;320;14826744;;;file://localhost/C:/E+/21T05_Mayo2/Paravorik%20-%20Too%20Late%20(Original%20Mix).mp3;11A
2133;2134;Felina;Lexer-;120;Dbm;2022-11-14;;;;320;17604485;;2;file://localhost/C:/E+/02-DonwloadsAll/202211_ProgressiveVarios/Lexer-Felina.mp3;12A
702;703;Wormhole (Original Mix);Matter;120;Abm;2021-08-01;Amanita;meanwhile;Meanwhile;320;18683656;0xff007f;9;file://localhost/C:/E+/20T08_Agosto/Matter%20-%20Wormhole%20Original%20Mix%20%5Bmeanwhile%5D.mp3;1A
411;412;uti;Roy Rosenfeld-T;121;Ebm;2021-12-31;;;;320;18536918;;3;file://localhost/C:/E+/21T12_Dic_Others/Roy%20Rosenfeld-Tuti.mp3;2A
1844;1845;Cold Heart;Elton John, Dua Lipa-;116;Bbm;2021-09-04;;;;320;8112631;;2;file://localhost/C:/Users/EfraimAlbertoCasasHe/Downloads/Elton%20John,%20Dua%20Lipa-Cold%20Heart.mp3;3A
670;671;Wander (Extended Mix);Paradoks;120;Fm;2021-08-26;;;;320;13767755;;5;file://localhost/C:/E+/21T08_Agosto2/Paradoks%20-%20Wander%20Extended%20Mix.mp3;4A
1582;1583;D.J.A.M.H. (Original Mix);Adana Twins, Ridoutt;116;Cm;2020-01-30;electronicfresh.com;;;320;20925104;;2;file://localhost/C:/E+/20T02_House/Adana%20Twins,%20Ridoutt%20-%20D.J.A.M.H.%20(Original%20Mix).mp3;5A
