;id;name;artist;bpm;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
22;23;Joy Machine (Original Mix);Brosso & Dub Pepper;120;Am;2022-09-07;;;;320;14390378;0xff007f;3;file://localhost/C:/E+/22T09_Septiembre2/Brosso%20%26%20Dub%20Pepper-Joy%20Machine%20(Original%20Mix).mp3;8A
401;402;Pacha Mama;Matter-;121;Em;2021-12-31;;;;320;21313290;0xffa500;4;file://localhost/C:/E+/21T12_Dic_Others/Matter-Pacha%20Mama.mp3;9A
1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Bm;2020-01-16;electronicfresh.com;;;320;20420517;;4;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
1819;1820;Progresstype Intro 2022;Kasas;87;Gbm;2022-08-11;;;;1411;12942434;;2;file://localhost/C:/E+/01_intros/Progresstype_IntroMale_Master.wav;11A
372;373;Stellar (Extended Mix);"Fløa &amp; Furcloud-";120;Dbm;2022-02-18;;;Comienzo;320;13582672;0xffa500;;"file://localhost/C:/E+/22T02_Febrero/Fl%C3%B8a%20%26amp;%20Furcloud-Stellar%20(Extended%20Mix).mp3";12A
2387;2388;Last Child On Earth;Jably-;121;Abm;2022-11-21;;;;320;17194885;;;file://localhost/C:/E+/02-DonwloadsAll/202211_Others/Jably-Last%20Child%20On%20Earth.mp3;1A
1921;1922;Tuti ;Roy Rosenfeld;121;Ebm;2022-04-16;Tuti EP;Lost Miracle;;1411;81678040;;;file://localhost/C:/Users/kasas/Music/Organic%20House/Roy%20Rosenfeld%20-%20Tuti%20%20%5BLost%20Miracle%5D.aiff;2A
626;627;Cold Heart;Elton John, Dua Lipa;116;Bbm;2021-09-05;;;;320;;;5;file://localhost/C:/E+/21T09_SepMelody/Elton%20John,%20Dua%20Lipa-Cold%20Heart.mp3;3A
2110;2111;Firefly;Sebastien Leger;121;Fm;2022-11-14;;;;320;19797725;;3;file://localhost/C:/E+/02-DonwloadsAll/202211_OrganicVarios/Sebastien%20Leger-Firefly.mp3;4A
40;41;Whispers in the Dark (Original Mix);Kebin Van Reeken-;120;Cm;2022-09-03;;;;320;18262770;0x25fde9;1;file://localhost/C:/E+/22T09_Septiembre/Kebin%20Van%20Reeken-Whispers%20in%20the%20Dark%20(Original%20Mix).mp3;5A
