;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
647;648;Inertia;Mariner + Domingo, Chris Domingo, Mariner;121;Organic House / Downtempo;Am;2021-09-29;Inertia;Sound Avenue;;320;18468969;;;file://localhost/C:/E+/21T09_SepMelody/Mariner%20+%20Domingo,%20Chris%20Domingo,%20Mariner-Inertia.mp3;8A
717;718;Small Alarms (Original Mix);Guy J;120;Progressive House;Bbm;2021-08-07;Small Alarms / Modulator / The Fall;Lost & Found;temporal;320;20957208;0xffa500;13;file://localhost/C:/E+/20T08_Agosto/Guy%20J%20-%20Small%20Alarms%20Original%20Mix-www.groovytunes.org.mp3;3A
383;384;Acceptance;Ruben Karapetyan;120;Progressive House;Bm;2022-02-28;Janus / Acceptance;aboriginal;;320;18622227;;4;file://localhost/C:/E+/22T02_Febrero/Ruben%20Karapetyan-Acceptance.mp3;10A
363;364;With No Mask;Brann (AR)-;120;Progressive House;Cm;2022-03-17;With No Mask;MNL;;320;19311114;0xffa500;5;file://localhost/C:/E+/22T03_Marzo/Brann%20(AR)-With%20No%20Mask.mp3;5A
538;539;Scifi (Original Mix);Xandl, DJ Hepri;92;Progressive House;Gm;2021-11-09;Transform;Siona Records;;320;13457537;0xffa500;1;file://localhost/C:/E+/21T11_Nov01/Xandl%20DJ%20Hepri%20-%20Scifi%20Original%20Mix.mp3;6A
639;640;Thoughts on a Time of Waiting;Stereo Underground;121;Progressive House;Dm;2021-09-10;Thoughts on a Time of Waiting EP;Sprout;;320;19638292;;1;file://localhost/C:/E+/21T09_SepMelody/Stereo%20Underground-Thoughts%20on%20a%20Time%20of%20Waiting.mp3;7A
1026;1027;Lunar (Extended Mix);Highjacks;122;Progressive House;Dm;2021-04-26;Void;Siona Records;10B;320;18186090;;;file://localhost/C:/E+/21T04_Abril/Highjacks%20-%20Lunar%20(Extended%20Mix).mp3;7A
1091;1092;Navagio 2020 (Subandrio Remix);Alex O'Rion;122;Progressive House;Am;2020-12-18;Five Years, Pt. 1;ICONYC;19_04;320;20830289;;5;file://localhost/C:/E+/20T24/Alex%20O'Rion%20-%20Navagio%202020%20(Subandrio%20Remix).mp3;8A
1263;1264;Day By Day (Extended Mix);The Dualz;122;Melodic House & Techno;Em;2020-07-18;Inside Me EP;Anjunadeep;;320;17384095;;;file://localhost/C:/E+/20T16/The%20Dualz%20-%20Day%20By%20Day%20(Extended%20Mix).mp3;9A
1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Progressive House;Bm;2020-01-16;Liria;Or Two Strangers;;320;20466041;;3;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
