;index;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
0;694;695;Precipice (Sebastian Sellares Remix);GMJ;121;Progressive House;Am;2021-08-01;Mood Medicine (Remixes);Meanwhile;Meanwhile;320;18961547;;3;file://localhost/C:/E+/20T08_Agosto/GMJ%20-%20Precipice%20(Sebastian%20Sellares%20Remix)%20%5Bmeanwhile%5D.mp3;8A
1;792;793;Silent Summer;Budakid;121;Progressive House;Em;2021-07-14;Silent Summer / Story Of Tokay;Lost & Found;Comercial;320;15526617;0xff007f;2;file://localhost/C:/E+/21T07_Julio_PN/Budakid%20-%20Silent%20Summer_pn.mp3;9A
2;1959;1960;System Failure;Ubbah-;120;Melodic House & Techno;Em;2022-09-17;Unity Pt. 3;Afterlife Records;;320;16823900;0xffa500;1;file://localhost/C:/E+/01-MinusTechMelody/03-Afterlife/Ubbah-System%20Failure.mp3;9A
3;383;384;Acceptance;Ruben Karapetyan;120;Progressive House;Bm;2022-02-28;Janus / Acceptance;aboriginal;;320;18622227;;4;file://localhost/C:/E+/22T02_Febrero/Ruben%20Karapetyan-Acceptance.mp3;10A
4;1922;1923;Ashes In The Wind (Original Mix) ;Sebastien Leger;121;Melodic House & Techno;D;2022-04-16;Secrets EP (28 Feb 2020);All Day I Dream;;1411;106642882;;;file://localhost/C:/Users/kasas/Music/Organic%20House/Sebastien%20Leger%20-%20Ashes%20In%20The%20Wind%20(Original%20Mix)%20%5BAll%20Day%20I%20Dream%5D.aiff;10B
5;1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Progressive House;Bm;2020-01-16;Liria;Or Two Strangers;;320;20466041;;3;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
6;837;838;Player (Original Mix);Stylo & Space Motion;122;Melodic House & Techno;Gbm;2021-06-21;Player;Space Motion Records;Vocal;320;15315251;0xff0000;19;file://localhost/C:/E+/21T06_Junio2_Techno/Stylo%20%26%20Space%20Motion%20-%20Player%20Original%20Mix.mp3;11A
7;302;303;Neverknow (Original Mix);NOIYSE PROJECT-;122;Progressive House;Gm;2022-05-13;Neverknow;Till The Sunrise;R11;320;20077833;0xffa500;4;file://localhost/C:/E+/22T05_Mayo_Progress/NOIYSE%20PROJECT-Neverknow%20(Original%20Mix).mp3;6A
8;679;680;Patterns of Loss;Imran Khan;122;Progressive House;Dm;2021-08-31;Meanwhile Excursions, Vol. 1;Meanwhile;Golpe bueno en el drop;320;18944697;0xffa500;17;file://localhost/C:/E+/21T08_Agosto2/Imran%20Khan-Patterns%20of%20Loss.mp3;7A
9;772;773;Kessell (Original Mix);Kamilo Sanclemente, Dabeat;121;Progressive House;F;2021-07-20;Dream Walker;Hope Recordings;Temp;320;18564172;0xffa500;5;file://localhost/C:/E+/21T07_Julio_CO/Kamilo%20Sanclemente,%20Dabeat%20-%20Kessell%20(Original%20Mix)%20%5BHope%20Recordings%5D.mp3;7B
10;1268;1269;High Maintenance (Stil & Bense Remix);Age is a Box;90;Progressive House;Dm;2020-06-21;Save Your Culture - Part Two;Lukins;11_03;1411;76248682;0xffa500;5;file://localhost/C:/E+/20T13/Age%20is%20a%20Box%20-%20High%20Maintenance%20(Stil%20%26%20Bense%20Remix)%20%5BLukins%5D%20%5Bwww.jkmk.net%5D.aiff;7A
11;30;31;Mortero (Nishan Lee Remix);Yudi Watanabe-;122;Progressive House;Dm;2022-09-07;Mortero;Transensations Records;;320;17922351;;;file://localhost/C:/E+/22T09_Septiembre2/Yudi%20Watanabe-Mortero%20(Nishan%20Lee%20Remix).mp3;7A
12;1738;1739;Irreversible (Original Mix);Matchy;122;Progressive House;Dm;2020-01-06;Conjunction Anto;KATERMUKKE;;320;17708263;;5;file://localhost/C:/E+/19T7/Matchy%20-%20Irreversible%20(Original%20Mix).mp3;7A
13;2248;2249;If Only (You Could Be Here) (Eli & Fur Remix);Le Youth, OCULA, Nathan Nicholson-;123;Melodic House & Techno;Ebm;2022-12-28;Reminders Remixed;This Never Happened;;320;17594324;;;file://localhost/C:/E+/02-DonwloadsAll/202212_Melody/Le%20Youth,%20OCULA,%20Nathan%20Nicholson-If%20Only%20(You%20Could%20Be%20Here)%20(Eli%20%26%20Fur%20Remix).mp3;2A
14;1527;1528;Spectrum (Extended Mix);David Tort, Markem;123;Progressive House;Ebm;2020-03-13;Spectrum;DOORN RECORDS;;320;14793615;0xffa500;4;file://localhost/C:/E+/20T04_ProgessT/David%20Tort,%20Markem%20-%20Spectrum%20(Extended%20Mix).mp3;2A
15;447;448;Obsession;Dmitry Molosh;120;Progressive House;Em;2021-12-06;Obsession;Deepwibe Underground;;320;18349139;0xffa500;8;file://localhost/C:/E+/21T12_Dic/Dmitry%20Molosh-Obsession.mp3;9A
16;2383;2384;Rip The Time (Sahab Remix);ArshiyaZi-;122;Melodic House & Techno;Bm;2023-01-05;Ethereal Techno #012;Steyoyoke;;320;14199412;;;file://localhost/C:/E+/02-DonwloadsAll/202301_Melody/ArshiyaZi-Rip%20The%20Time%20(Sahab%20Remix).mp3;10A
