;index;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
0;2276;2277;Ally Of The Good (Extended Mix);Daniel Portman;124;Melodic House & Techno;Fm;2023-03-10;Ally of the Good;Enormous Tunes;;320;15692388;0xff0000;3;file://localhost/C:/E+/02-DonwloadsAll/202303_Continuous/Daniel%20Portman%20-%20Ally%20Of%20The%20Good%20(Extended%20Mix)_(AlertAudio.ru).mp3;4A
1;2426;2427;Spiral (GMJ Remix);Ric Niels, Dowden - ;121;Progressive House;Fm;2023-04-08;Coil / Spiral;Mango Alley;;320;19430114;;;file://localhost/C:/E+/02-DonwloadsAll/202303_varios/Ric%20Niels,%20Dowden%20-%20Spiral%20(GMJ%20Remix).mp3;4A
2;2437;2;Mortero;Yudi Watanabe;120;Progressive House;Fm;2022-09-07;Mortero;Transensations Records;;320;18463577;;1;file://localhost/C:/E+/22T09_Septiembre2/Yudi%20Watanabe-Mortero.mp3;4A
3;2434;2435;Sweet Escape (Alan Cerra Remix);Kyotto;121;Progressive House;Fm;2023-03-29;Antimony / Sweet Escape (Remixed Part II);Dopamine White;;320;20257729;;1;file://localhost/C:/E+/02-DonwloadsAll/202303_Progressive/Kyotto-Sweet%20Escape%20(Alan%20Cerra%20Remix).mp3;4A
4;2435;2436;Gaman (Jhordan Welsch Remix);SALAZAR (COL);120;Progressive House;Fm;2023-03-29;Gaman;Wander Nation;;320;19642906;;;file://localhost/C:/E+/02-DonwloadsAll/202303_Progressive/SALAZAR%20(COL)-Gaman%20(Jhordan%20Welsch%20Remix).mp3;4A
5;2382;2383;Theragon (Lukas Bilz Remix);Ben Tov-;120;Melodic House & Techno;Fm;2023-01-05;Theragon;Katz & Kauz;;320;15466506;;;file://localhost/C:/E+/02-DonwloadsAll/202301_Melody/Ben%20Tov-Theragon%20(Lukas%20Bilz%20Remix).mp3;4A
6;2380;2381;A Story;Alper Gursoy-;122;Melodic House & Techno;Fm;2023-01-05;A Story;The Sin Records;;320;10300211;;;file://localhost/C:/E+/02-DonwloadsAll/202301_Melody/Alper%20Gursoy-A%20Story.mp3;4A
7;2345;2346;Lorax (Stan Kolev Extended Remix);Paul Thomas;121;Progressive House;Cm;2023-03-10;Lorax (Stan Kolev Remix);UV;;320;18093421;;3;file://localhost/C:/E+/02-DonwloadsAll/202303_Continuous/Paul%20Thomas%20-%20Lorax%20(Stan%20Kolev%20Extended%20Remix).mp3;5A
8;2346;2347;Lorax;Paul Thomas;122;Progressive House;Cm;2023-03-10;FSOE UV - Best of 2018;UV;;320;21633210;;1;file://localhost/C:/E+/02-DonwloadsAll/202303_Continuous/Paul%20Thomas%20-%20Lorax_(KillAudio.ru).mp3;5A
9;2287;2288;Mahasim Dmitry Molosh Remix;Roman Kandel - ;122;Progressive House;Gm;2023-03-10;Mahasim;Deepwibe Underground;;269;15719996;0xffa500;1;file://localhost/C:/E+/02-DonwloadsAll/202303_Continuous/Roman%20Kandel%20-%20Mahasim%20Dmitry%20Molosh%20Remix_(AlertAudio.ru).mp3;6A
10;2353;2354;Motif ;Tebra;121;Melodic House & Techno;Gm;2023-01-28;Meree Aatma Ep;Go Deeva Records;;320;14271820;;1;file://localhost/C:/E+/02-DonwloadsAll/202301_Organic/Tebra%20-%20Motif.mp3;6A
11;2438;2439;The Things We re Made Of (Original Mix);Albuquerque & Grife;123;Progressive House;Gm;2023-03-29;Destination;SONIDO PROFUNDO;;320;16452452;;;file://localhost/C:/E+/02-DonwloadsAll/202303_Progressive/Albuquerque%20%26%20Grife%20-%20The%20Things%20We%20re%20Made%20Of%20(Original%20Mix).mp3;6A
12;2439;2440;Into the Ashes;Konte;122;Progressive House;Gm;2023-03-29;Deep in the Night;Future Avenue;;320;17845574;;;file://localhost/C:/E+/02-DonwloadsAll/202303_Progressive/Konte%20-%20Into%20the%20Ashes.mp3;6A
13;2326;2327;Metanoia;Modeplex, Paul Anthonee-;123;Melodic House & Techno;Dm;2023-01-05;Days Of Change;Steyoyoke;;320;17625941;;5;file://localhost/C:/E+/02-DonwloadsAll/202301_Melody/Modeplex,%20Paul%20Anthonee-Metanoia.mp3;7A
14;2442;2443;Claimwind;J.FIZ;122;Progressive House;Dm;2023-03-29;The Purr Club Essentials;The Purr;;320;20467899;0xff007f;3;file://localhost/C:/E+/02-DonwloadsAll/202303_Progressive/J.FIZ-Claimwind.mp3;7A
15;2446;2447;A Better Way (Forty Cats Remix);Luis Damora;122;Progressive House;Am;2023-03-29;A Better Way;Serrano's Kitchen;;320;19315331;;1;file://localhost/C:/E+/02-DonwloadsAll/202303_Progressive/Luis%20Damora%20-%20A%20Better%20Way%20(Forty%20Cats%20Remix)%20GR_(SensAudio.ru).mp3;8A
16;2449;2450;Canna (Original Mix);Dowden;122;Progressive House;Em;2023-03-29;Chapter III;Deepwibe Underground;;320;18971725;;1;file://localhost/C:/E+/02-DonwloadsAll/202303_Progressive/Dowden%20-%20Canna%20Original%20Mix.mp3;9A
